Year,State,State Code,Ten-Year Age Groups,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
2002,Pennsylvania,42,75-84 years,Removal of other organ (partial) (total),Y83.6,53,725059,7.3
2002,Pennsylvania,42,75-84 years,Other surgical procedures,Y83.8,21,725059,2.9
2002,Pennsylvania,42,75-84 years,"Surgical procedure, unspecified",Y83.9,58,725059,8
2002,Pennsylvania,42,85+ years,Surgical operation with implant of artificial internal device,Y83.1,59,245687,24
2002,Pennsylvania,42,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,19,245687,Unreliable
2002,Pennsylvania,42,85+ years,Surgical operation with formation of external stoma,Y83.3,11,245687,Unreliable
2002,Pennsylvania,42,85+ years,Other reconstructive surgery,Y83.4,20,245687,8.1
2002,Pennsylvania,42,85+ years,Amputation of limb(s),Y83.5,16,245687,Unreliable
2002,Pennsylvania,42,85+ years,Removal of other organ (partial) (total),Y83.6,33,245687,13.4
2002,Pennsylvania,42,85+ years,"Surgical procedure, unspecified",Y83.9,35,245687,14.2
2002,Rhode Island,44,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,12,58907,Unreliable
2002,Rhode Island,44,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,58907,Unreliable
2002,Rhode Island,44,75-84 years,Removal of other organ (partial) (total),Y83.6,10,58907,Unreliable
2002,Rhode Island,44,85+ years,Other reconstructive surgery,Y83.4,10,21896,Unreliable
2002,South Carolina,45,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,579678,Unreliable
2002,South Carolina,45,55-64 years,Surgical operation with transplant of whole organ,Y83.0,11,414059,Unreliable
2002,South Carolina,45,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,11,414059,Unreliable
2002,South Carolina,45,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,18,414059,Unreliable
2002,South Carolina,45,55-64 years,"Surgical procedure, unspecified",Y83.9,13,414059,Unreliable
2002,South Carolina,45,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,16,276806,Unreliable
2002,South Carolina,45,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,276806,7.2
2002,South Carolina,45,65-74 years,Removal of other organ (partial) (total),Y83.6,15,276806,Unreliable
2002,South Carolina,45,65-74 years,"Surgical procedure, unspecified",Y83.9,22,276806,7.9
2002,South Carolina,45,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,25,171460,14.6
2002,South Carolina,45,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,39,171460,22.7
2002,South Carolina,45,75-84 years,Removal of other organ (partial) (total),Y83.6,16,171460,Unreliable
2002,South Carolina,45,75-84 years,"Surgical procedure, unspecified",Y83.9,34,171460,19.8
2002,South Carolina,45,85+ years,Surgical operation with implant of artificial internal device,Y83.1,19,52211,Unreliable
2002,South Carolina,45,85+ years,"Surgical procedure, unspecified",Y83.9,14,52211,Unreliable
2002,Tennessee,47,45-54 years,Surgical operation with transplant of whole organ,Y83.0,17,827157,Unreliable
2002,Tennessee,47,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,827157,Unreliable
2002,Tennessee,47,55-64 years,Surgical operation with transplant of whole organ,Y83.0,13,583586,Unreliable
2002,Tennessee,47,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,11,583586,Unreliable
2002,Tennessee,47,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,583586,Unreliable
2002,Tennessee,47,55-64 years,"Surgical procedure, unspecified",Y83.9,12,583586,Unreliable
2002,Tennessee,47,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,38,389709,9.8
2002,Tennessee,47,65-74 years,Other reconstructive surgery,Y83.4,13,389709,Unreliable
2002,Tennessee,47,65-74 years,Removal of other organ (partial) (total),Y83.6,14,389709,Unreliable
2002,Tennessee,47,65-74 years,"Surgical procedure, unspecified",Y83.9,29,389709,7.4
2002,Tennessee,47,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,27,245808,11
2002,Tennessee,47,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,31,245808,12.6
2002,Tennessee,47,75-84 years,Other reconstructive surgery,Y83.4,13,245808,Unreliable
2002,Tennessee,47,75-84 years,Removal of other organ (partial) (total),Y83.6,24,245808,9.8
2002,Tennessee,47,75-84 years,"Surgical procedure, unspecified",Y83.9,23,245808,9.4
2002,Tennessee,47,85+ years,Surgical operation with implant of artificial internal device,Y83.1,14,82020,Unreliable
2002,Tennessee,47,85+ years,"Surgical procedure, unspecified",Y83.9,17,82020,Unreliable
2002,Texas,48,35-44 years,Surgical operation with transplant of whole organ,Y83.0,13,3333037,Unreliable
2002,Texas,48,35-44 years,"Surgical procedure, unspecified",Y83.9,10,3333037,Unreliable
2002,Texas,48,45-54 years,Surgical operation with transplant of whole organ,Y83.0,26,2823773,0.9
2002,Texas,48,45-54 years,Surgical operation with implant of artificial internal device,Y83.1,20,2823773,0.7
2002,Texas,48,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,33,2823773,1.2
2002,Texas,48,45-54 years,"Surgical procedure, unspecified",Y83.9,23,2823773,0.8
2002,Texas,48,55-64 years,Surgical operation with transplant of whole organ,Y83.0,41,1779656,2.3
2002,Texas,48,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,24,1779656,1.3
2002,Texas,48,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,44,1779656,2.5
2002,Texas,48,55-64 years,Removal of other organ (partial) (total),Y83.6,23,1779656,1.3
2002,Texas,48,55-64 years,"Surgical procedure, unspecified",Y83.9,22,1779656,1.2
2002,Texas,48,65-74 years,Surgical operation with transplant of whole organ,Y83.0,19,1167416,Unreliable
2002,Texas,48,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,48,1167416,4.1
2002,Texas,48,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,96,1167416,8.2
2002,Texas,48,65-74 years,Other reconstructive surgery,Y83.4,14,1167416,Unreliable
2002,Texas,48,65-74 years,Removal of other organ (partial) (total),Y83.6,26,1167416,2.2
2002,Texas,48,65-74 years,"Surgical procedure, unspecified",Y83.9,57,1167416,4.9
2002,Texas,48,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,58,727514,8
2002,Texas,48,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,88,727514,12.1
2002,Texas,48,75-84 years,Other reconstructive surgery,Y83.4,30,727514,4.1
2002,Texas,48,75-84 years,Amputation of limb(s),Y83.5,11,727514,Unreliable
2002,Texas,48,75-84 years,Removal of other organ (partial) (total),Y83.6,40,727514,5.5
2002,Texas,48,75-84 years,"Surgical procedure, unspecified",Y83.9,101,727514,13.9
2002,Texas,48,85+ years,Surgical operation with implant of artificial internal device,Y83.1,30,238538,12.6
2002,Texas,48,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,238538,Unreliable
2002,Texas,48,85+ years,Other reconstructive surgery,Y83.4,18,238538,Unreliable
2002,Texas,48,85+ years,Amputation of limb(s),Y83.5,13,238538,Unreliable
2002,Texas,48,85+ years,Removal of other organ (partial) (total),Y83.6,20,238538,8.4
2002,Texas,48,85+ years,"Surgical procedure, unspecified",Y83.9,56,238538,23.5
2002,Virginia,51,45-54 years,Surgical operation with transplant of whole organ,Y83.0,11,1059835,Unreliable
2002,Virginia,51,45-54 years,"Surgical procedure, unspecified",Y83.9,10,1059835,Unreliable
2002,Virginia,51,55-64 years,Surgical operation with transplant of whole organ,Y83.0,20,705917,2.8
2002,Virginia,51,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,705917,Unreliable
2002,Virginia,51,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,10,441212,Unreliable
2002,Virginia,51,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,39,441212,8.8
2002,Virginia,51,65-74 years,Removal of other organ (partial) (total),Y83.6,11,441212,Unreliable
2002,Virginia,51,65-74 years,"Surgical procedure, unspecified",Y83.9,19,441212,Unreliable
2002,Virginia,51,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,31,285236,10.9
2002,Virginia,51,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,25,285236,8.8
2002,Virginia,51,75-84 years,Other reconstructive surgery,Y83.4,14,285236,Unreliable
2002,Virginia,51,75-84 years,Removal of other organ (partial) (total),Y83.6,13,285236,Unreliable
2002,Virginia,51,75-84 years,"Surgical procedure, unspecified",Y83.9,32,285236,11.2
2002,Virginia,51,85+ years,Surgical operation with implant of artificial internal device,Y83.1,12,91206,Unreliable
2002,Virginia,51,85+ years,"Surgical procedure, unspecified",Y83.9,16,91206,Unreliable
2002,Washington,53,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,897507,Unreliable
2002,Washington,53,55-64 years,Surgical operation with transplant of whole organ,Y83.0,13,564617,Unreliable
2002,Washington,53,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,12,564617,Unreliable
2002,Washington,53,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,24,564617,4.3
2002,Washington,53,55-64 years,"Surgical procedure, unspecified",Y83.9,14,564617,Unreliable
2002,Washington,53,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,16,341459,Unreliable
2002,Washington,53,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,32,341459,9.4
2002,Washington,53,65-74 years,Other reconstructive surgery,Y83.4,16,341459,Unreliable
2002,Washington,53,65-74 years,Removal of other organ (partial) (total),Y83.6,10,341459,Unreliable
2002,Washington,53,65-74 years,"Surgical procedure, unspecified",Y83.9,24,341459,7
2002,Washington,53,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,29,247261,11.7
2002,Washington,53,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,36,247261,14.6
2002,Washington,53,75-84 years,Other reconstructive surgery,Y83.4,20,247261,8.1
2002,Washington,53,75-84 years,Removal of other organ (partial) (total),Y83.6,20,247261,8.1
2002,Washington,53,75-84 years,Other surgical procedures,Y83.8,10,247261,Unreliable
2002,Washington,53,75-84 years,"Surgical procedure, unspecified",Y83.9,44,247261,17.8
2002,Washington,53,85+ years,Surgical operation with implant of artificial internal device,Y83.1,15,88730,Unreliable
2002,Washington,53,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,88730,Unreliable
2002,Washington,53,85+ years,Removal of other organ (partial) (total),Y83.6,11,88730,Unreliable
2002,Washington,53,85+ years,"Surgical procedure, unspecified",Y83.9,18,88730,Unreliable
2002,West Virginia,54,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,16,147058,Unreliable
2002,West Virginia,54,65-74 years,"Surgical procedure, unspecified",Y83.9,10,147058,Unreliable
2002,West Virginia,54,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,12,98908,Unreliable
2002,West Virginia,54,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,98908,20.2
2002,West Virginia,54,75-84 years,"Surgical procedure, unspecified",Y83.9,15,98908,Unreliable
2002,West Virginia,54,85+ years,Surgical operation with implant of artificial internal device,Y83.1,14,31562,Unreliable
2002,Wisconsin,55,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,11,499877,Unreliable
2002,Wisconsin,55,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,499877,Unreliable
2002,Wisconsin,55,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,15,352156,Unreliable
2002,Wisconsin,55,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,36,352156,10.2
2002,Wisconsin,55,65-74 years,Removal of other organ (partial) (total),Y83.6,15,352156,Unreliable
2002,Wisconsin,55,65-74 years,"Surgical procedure, unspecified",Y83.9,20,352156,5.7
2002,Wisconsin,55,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,19,257227,Unreliable
2002,Wisconsin,55,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,44,257227,17.1
2002,Wisconsin,55,75-84 years,Other reconstructive surgery,Y83.4,21,257227,8.2
2002,Wisconsin,55,75-84 years,Removal of other organ (partial) (total),Y83.6,21,257227,8.2
2002,Wisconsin,55,75-84 years,"Surgical procedure, unspecified",Y83.9,42,257227,16.3
2002,Wisconsin,55,85+ years,Surgical operation with implant of artificial internal device,Y83.1,22,99128,22.2
2002,Wisconsin,55,85+ years,Other reconstructive surgery,Y83.4,32,99128,32.3
2002,Wisconsin,55,85+ years,Removal of other organ (partial) (total),Y83.6,15,99128,Unreliable
2002,Wisconsin,55,85+ years,"Surgical procedure, unspecified",Y83.9,25,99128,25.2
2003,Alabama,1,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,465670,4.3
2003,Alabama,1,55-64 years,"Surgical procedure, unspecified",Y83.9,16,465670,Unreliable
2003,Alabama,1,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,11,320967,Unreliable
2003,Alabama,1,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,34,320967,10.6
2003,Alabama,1,65-74 years,Removal of other organ (partial) (total),Y83.6,10,320967,Unreliable
2003,Alabama,1,65-74 years,"Surgical procedure, unspecified",Y83.9,11,320967,Unreliable
2003,Alabama,1,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,26,203838,12.8
2003,Alabama,1,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,46,203838,22.6
2003,Alabama,1,75-84 years,Other reconstructive surgery,Y83.4,12,203838,Unreliable
2003,Alabama,1,75-84 years,Removal of other organ (partial) (total),Y83.6,12,203838,Unreliable
2003,Alabama,1,75-84 years,"Surgical procedure, unspecified",Y83.9,25,203838,12.3
2003,Alabama,1,85+ years,"Surgical procedure, unspecified",Y83.9,13,65567,Unreliable
2003,Arizona,4,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,527386,Unreliable
2003,Arizona,4,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,13,383311,Unreliable
2003,Arizona,4,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,383311,Unreliable
2003,Arizona,4,65-74 years,"Surgical procedure, unspecified",Y83.9,17,383311,Unreliable
2003,Arizona,4,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,20,252669,7.9
2003,Arizona,4,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,27,252669,10.7
2003,Arizona,4,75-84 years,Removal of other organ (partial) (total),Y83.6,10,252669,Unreliable
2003,Arizona,4,75-84 years,"Surgical procedure, unspecified",Y83.9,23,252669,9.1
2003,Arkansas,5,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,286595,Unreliable
2003,Arkansas,5,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,11,131018,Unreliable
2003,Arkansas,5,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,131018,15.3
2003,Arkansas,5,75-84 years,"Surgical procedure, unspecified",Y83.9,15,131018,Unreliable
2003,Arkansas,5,85+ years,"Surgical procedure, unspecified",Y83.9,10,46272,Unreliable
2003,California,6,35-44 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,17,5485873,Unreliable
2003,California,6,35-44 years,Removal of other organ (partial) (total),Y83.6,10,5485873,Unreliable
2003,California,6,35-44 years,Other surgical procedures,Y83.8,21,5485873,0.4
2003,California,6,35-44 years,"Surgical procedure, unspecified",Y83.9,13,5485873,Unreliable
2003,California,6,45-54 years,Surgical operation with transplant of whole organ,Y83.0,18,4735416,Unreliable
2003,California,6,45-54 years,Surgical operation with implant of artificial internal device,Y83.1,12,4735416,Unreliable
2003,California,6,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,34,4735416,0.7
2003,California,6,45-54 years,Removal of other organ (partial) (total),Y83.6,30,4735416,0.6
2003,California,6,45-54 years,Other surgical procedures,Y83.8,30,4735416,0.6
2003,California,6,45-54 years,"Surgical procedure, unspecified",Y83.9,17,4735416,Unreliable
2003,California,6,55-64 years,Surgical operation with transplant of whole organ,Y83.0,18,3062563,Unreliable
2003,California,6,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,32,3062563,1
2003,California,6,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,62,3062563,2
2003,California,6,55-64 years,Surgical operation with formation of external stoma,Y83.3,16,3062563,Unreliable
2003,California,6,55-64 years,Other reconstructive surgery,Y83.4,19,3062563,Unreliable
2003,California,6,55-64 years,Amputation of limb(s),Y83.5,14,3062563,Unreliable
2003,California,6,55-64 years,Removal of other organ (partial) (total),Y83.6,53,3062563,1.7
2003,California,6,55-64 years,Other surgical procedures,Y83.8,45,3062563,1.5
2003,California,6,55-64 years,"Surgical procedure, unspecified",Y83.9,39,3062563,1.3
2003,California,6,65-74 years,Surgical operation with transplant of whole organ,Y83.0,10,1929662,Unreliable
2003,California,6,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,56,1929662,2.9
2003,California,6,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,91,1929662,4.7
2003,California,6,65-74 years,Surgical operation with formation of external stoma,Y83.3,15,1929662,Unreliable
2003,California,6,65-74 years,Other reconstructive surgery,Y83.4,35,1929662,1.8
2003,California,6,65-74 years,Amputation of limb(s),Y83.5,19,1929662,Unreliable
2003,California,6,65-74 years,Removal of other organ (partial) (total),Y83.6,81,1929662,4.2
2003,California,6,65-74 years,Other surgical procedures,Y83.8,65,1929662,3.4
2003,California,6,65-74 years,"Surgical procedure, unspecified",Y83.9,39,1929662,2
2003,California,6,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,106,1354713,7.8
2003,California,6,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,135,1354713,10
2003,California,6,75-84 years,Surgical operation with formation of external stoma,Y83.3,20,1354713,1.5
2003,California,6,75-84 years,Other reconstructive surgery,Y83.4,46,1354713,3.4
2003,California,6,75-84 years,Amputation of limb(s),Y83.5,33,1354713,2.4
2003,California,6,75-84 years,Removal of other organ (partial) (total),Y83.6,130,1354713,9.6
2003,California,6,75-84 years,Other surgical procedures,Y83.8,79,1354713,5.8
2003,California,6,75-84 years,"Surgical procedure, unspecified",Y83.9,88,1354713,6.5
2003,California,6,85+ years,Surgical operation with implant of artificial internal device,Y83.1,77,461006,16.7
2003,California,6,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,36,461006,7.8
2003,California,6,85+ years,Surgical operation with formation of external stoma,Y83.3,14,461006,Unreliable
2003,California,6,85+ years,Other reconstructive surgery,Y83.4,33,461006,7.2
2003,California,6,85+ years,Amputation of limb(s),Y83.5,20,461006,4.3
2003,California,6,85+ years,Removal of other organ (partial) (total),Y83.6,68,461006,14.8
2003,California,6,85+ years,Other surgical procedures,Y83.8,38,461006,8.2
2003,California,6,85+ years,"Surgical procedure, unspecified",Y83.9,58,461006,12.6
2003,Colorado,8,55-64 years,Surgical operation with transplant of whole organ,Y83.0,10,413675,Unreliable
2003,Colorado,8,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,413675,Unreliable
2003,Colorado,8,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,236052,Unreliable
2003,Colorado,8,65-74 years,Removal of other organ (partial) (total),Y83.6,10,236052,Unreliable
2003,Colorado,8,65-74 years,"Surgical procedure, unspecified",Y83.9,11,236052,Unreliable
2003,Colorado,8,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,15,152100,Unreliable
2003,Colorado,8,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,17,152100,Unreliable
2003,Colorado,8,75-84 years,Removal of other organ (partial) (total),Y83.6,10,152100,Unreliable
2003,Colorado,8,75-84 years,"Surgical procedure, unspecified",Y83.9,17,152100,Unreliable
2003,Colorado,8,85+ years,Surgical operation with implant of artificial internal device,Y83.1,12,52063,Unreliable
2003,Colorado,8,85+ years,"Surgical procedure, unspecified",Y83.9,12,52063,Unreliable
2003,Connecticut,9,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,356867,Unreliable
2003,Connecticut,9,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,225226,8.9
2003,Connecticut,9,65-74 years,Removal of other organ (partial) (total),Y83.6,10,225226,Unreliable
2003,Connecticut,9,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,24,178082,13.5
2003,Connecticut,9,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,39,178082,21.9
2003,Connecticut,9,75-84 years,Other reconstructive surgery,Y83.4,13,178082,Unreliable
2003,Connecticut,9,75-84 years,Removal of other organ (partial) (total),Y83.6,16,178082,Unreliable
2003,Connecticut,9,75-84 years,Other surgical procedures,Y83.8,14,178082,Unreliable
2003,Connecticut,9,75-84 years,"Surgical procedure, unspecified",Y83.9,11,178082,Unreliable
2003,Connecticut,9,85+ years,Surgical operation with implant of artificial internal device,Y83.1,18,70942,Unreliable
2003,Connecticut,9,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,70942,Unreliable
2003,Connecticut,9,85+ years,Removal of other organ (partial) (total),Y83.6,11,70942,Unreliable
2003,Florida,12,45-54 years,Surgical operation with transplant of whole organ,Y83.0,18,2318843,Unreliable
2003,Florida,12,45-54 years,Surgical operation with implant of artificial internal device,Y83.1,11,2318843,Unreliable
2003,Florida,12,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,2318843,Unreliable
2003,Florida,12,45-54 years,Removal of other organ (partial) (total),Y83.6,16,2318843,Unreliable
2003,Florida,12,45-54 years,"Surgical procedure, unspecified",Y83.9,16,2318843,Unreliable
2003,Florida,12,55-64 years,Surgical operation with transplant of whole organ,Y83.0,22,1825070,1.2
2003,Florida,12,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,24,1825070,1.3
2003,Florida,12,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,38,1825070,2.1
2003,Florida,12,55-64 years,Other reconstructive surgery,Y83.4,10,1825070,Unreliable
2003,Florida,12,55-64 years,Removal of other organ (partial) (total),Y83.6,23,1825070,1.3
2003,Florida,12,55-64 years,Other surgical procedures,Y83.8,13,1825070,Unreliable
2003,Florida,12,55-64 years,"Surgical procedure, unspecified",Y83.9,26,1825070,1.4
2003,Florida,12,65-74 years,Surgical operation with transplant of whole organ,Y83.0,15,1472006,Unreliable
2003,Florida,12,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,48,1472006,3.3
2003,Florida,12,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,81,1472006,5.5
2003,Florida,12,65-74 years,Other reconstructive surgery,Y83.4,22,1472006,1.5
2003,Florida,12,65-74 years,Removal of other organ (partial) (total),Y83.6,57,1472006,3.9
2003,Florida,12,65-74 years,Other surgical procedures,Y83.8,14,1472006,Unreliable
2003,Florida,12,65-74 years,"Surgical procedure, unspecified",Y83.9,58,1472006,3.9
2003,Florida,12,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,67,1071127,6.3
2003,Florida,12,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,132,1071127,12.3
2003,Florida,12,75-84 years,Surgical operation with formation of external stoma,Y83.3,17,1071127,Unreliable
2003,Florida,12,75-84 years,Other reconstructive surgery,Y83.4,35,1071127,3.3
2003,Florida,12,75-84 years,Removal of other organ (partial) (total),Y83.6,70,1071127,6.5
2003,Florida,12,75-84 years,Other surgical procedures,Y83.8,25,1071127,2.3
2003,Florida,12,75-84 years,"Surgical procedure, unspecified",Y83.9,89,1071127,8.3
2003,Florida,12,85+ years,Surgical operation with implant of artificial internal device,Y83.1,35,346101,10.1
2003,Florida,12,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,25,346101,7.2
2003,Florida,12,85+ years,Other reconstructive surgery,Y83.4,14,346101,Unreliable
2003,Florida,12,85+ years,Removal of other organ (partial) (total),Y83.6,31,346101,9
2003,Florida,12,85+ years,"Surgical procedure, unspecified",Y83.9,38,346101,11
2003,Georgia,13,35-44 years,"Surgical procedure, unspecified",Y83.9,16,1375088,Unreliable
2003,Georgia,13,45-54 years,Surgical operation with transplant of whole organ,Y83.0,10,1182880,Unreliable
2003,Georgia,13,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,1182880,Unreliable
2003,Georgia,13,45-54 years,"Surgical procedure, unspecified",Y83.9,42,1182880,3.6
2003,Georgia,13,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,21,787342,2.7
2003,Georgia,13,55-64 years,Removal of other organ (partial) (total),Y83.6,12,787342,Unreliable
2003,Georgia,13,55-64 years,"Surgical procedure, unspecified",Y83.9,65,787342,8.3
2003,Georgia,13,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,15,459640,Unreliable
2003,Georgia,13,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,38,459640,8.3
2003,Georgia,13,65-74 years,Removal of other organ (partial) (total),Y83.6,13,459640,Unreliable
2003,Georgia,13,65-74 years,"Surgical procedure, unspecified",Y83.9,101,459640,22
2003,Georgia,13,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,23,277259,8.3
2003,Georgia,13,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,36,277259,13
2003,Georgia,13,75-84 years,Removal of other organ (partial) (total),Y83.6,18,277259,Unreliable
2003,Georgia,13,75-84 years,"Surgical procedure, unspecified",Y83.9,121,277259,43.6
2003,Georgia,13,85+ years,Surgical operation with implant of artificial internal device,Y83.1,17,90757,Unreliable
2003,Georgia,13,85+ years,Other reconstructive surgery,Y83.4,12,90757,Unreliable
2003,Georgia,13,85+ years,"Surgical procedure, unspecified",Y83.9,74,90757,81.5
2003,Idaho,16,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,80802,Unreliable
2003,Idaho,16,75-84 years,"Surgical procedure, unspecified",Y83.9,15,54522,Unreliable
2003,Illinois,17,35-44 years,Surgical operation with transplant of whole organ,Y83.0,11,1911052,Unreliable
2003,Illinois,17,35-44 years,"Surgical procedure, unspecified",Y83.9,15,1911052,Unreliable
2003,Illinois,17,45-54 years,Surgical operation with transplant of whole organ,Y83.0,16,1743547,Unreliable
2003,Illinois,17,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,18,1743547,Unreliable
2003,Illinois,17,45-54 years,"Surgical procedure, unspecified",Y83.9,37,1743547,2.1
2003,Illinois,17,55-64 years,Surgical operation with transplant of whole organ,Y83.0,19,1164884,Unreliable
2003,Illinois,17,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,34,1164884,2.9
2003,Illinois,17,55-64 years,"Surgical procedure, unspecified",Y83.9,54,1164884,4.6
2003,Illinois,17,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,22,759295,2.9
2003,Illinois,17,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,31,759295,4.1
2003,Illinois,17,65-74 years,Removal of other organ (partial) (total),Y83.6,12,759295,Unreliable
2003,Illinois,17,65-74 years,"Surgical procedure, unspecified",Y83.9,120,759295,15.8
2003,Illinois,17,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,32,546005,5.9
2003,Illinois,17,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,63,546005,11.5
2003,Illinois,17,75-84 years,Surgical operation with formation of external stoma,Y83.3,10,546005,Unreliable
2003,Illinois,17,75-84 years,Other reconstructive surgery,Y83.4,16,546005,Unreliable
2003,Illinois,17,75-84 years,Amputation of limb(s),Y83.5,15,546005,Unreliable
2003,Illinois,17,75-84 years,Removal of other organ (partial) (total),Y83.6,34,546005,6.2
2003,Illinois,17,75-84 years,Other surgical procedures,Y83.8,13,546005,Unreliable
2003,Illinois,17,75-84 years,"Surgical procedure, unspecified",Y83.9,175,546005,32.1
